,Review,Review_norm,review_tokens,review_tokens_SR,review_tokens_stemmed
0,masalah kulitku kerutan,masalah kulitku kerutan,"['masalah', 'kulitku', 'kerutan']","['masalah', 'kulitku', 'kerutan']","['masalah', 'kulit', 'kerut']"
1,tipe kulitku kering,tipe kulitku kering,"['tipe', 'kulitku', 'kering']","['tipe', 'kulitku', 'kering']","['tipe', 'kulit', 'kering']"
2,bagus banget lip tint nya warnanya jg bagus kemasannya gemes banget kecil terimakasih,bagus banget lip tint nya warnanya juga bagus kemasannya gemas banget kecil terima kasih,"['bagus', 'banget', 'lip', 'tint', 'nya', 'warnanya', 'juga', 'bagus', 'kemasannya', 'gemas', 'banget', 'kecil', 'terima', 'kasih']","['bagus', 'banget', 'lip', 'tint', 'nya', 'warnanya', 'bagus', 'kemasannya', 'gemas', 'banget', 'kecil', 'terima', 'kasih']","['bagus', 'banget', 'lip', 'tint', 'nya', 'warna', 'bagus', 'kemas', 'gemas', 'banget', 'kecil', 'terima', 'kasih']"
3,expire pengiriman cepat cocok asal penggunaan sesuai instruksi,expire pengiriman cepat cocok asal penggunaan sesuai instruksi,"['expire', 'pengiriman', 'cepat', 'cocok', 'asal', 'penggunaan', 'sesuai', 'instruksi']","['expire', 'pengiriman', 'cepat', 'cocok', 'asal', 'penggunaan', 'sesuai', 'instruksi']","['expire', 'kirim', 'cepat', 'cocok', 'asal', 'guna', 'sesuai', 'instruksi']"
4,no review found,no review found,"['no', 'review', 'found']","['no', 'review', 'found']","['no', 'review', 'found']"
5,dapet gift setiap pembelian lucu bgt sukaaa makasi,dapat gift setiap pembelian lucu banget suka terima kasih,"['dapat', 'gift', 'setiap', 'pembelian', 'lucu', 'banget', 'suka', 'terima', 'kasih']","['gift', 'pembelian', 'lucu', 'banget', 'suka', 'terima', 'kasih']","['gift', 'beli', 'lucu', 'banget', 'suka', 'terima', 'kasih']"
6,ringan banget kaya ga pake apa apa terus beneran transferproof mana design nya lucu lagiii,ringan banget kayak enggak pakai apa apa terus benaran transferproof mana design nya lucu lagi,"['ringan', 'banget', 'kayak', 'enggak', 'pakai', 'apa', 'apa', 'terus', 'benaran', 'transferproof', 'mana', 'design', 'nya', 'lucu', 'lagi']","['ringan', 'banget', 'kayak', 'enggak', 'pakai', 'apa', 'apa', 'terus', 'benaran', 'transferproof', 'mana', 'design', 'nya', 'lucu']","['ringan', 'banget', 'kayak', 'enggak', 'pakai', 'apa', 'apa', 'terus', 'benar', 'transferproof', 'mana', 'design', 'nya', 'lucu']"
7,tipe kulitku sensitif dan cocok banget pake ini gak bikin kering sama sekali,tipe kulitku sensitif dan cocok banget pakai ini enggak bikin kering sama sekali,"['tipe', 'kulitku', 'sensitif', 'dan', 'cocok', 'banget', 'pakai', 'ini', 'enggak', 'bikin', 'kering', 'sama', 'sekali']","['tipe', 'kulitku', 'sensitif', 'cocok', 'banget', 'pakai', 'enggak', 'bikin', 'kering', 'sama', 'sekali']","['tipe', 'kulit', 'sensitif', 'cocok', 'banget', 'pakai', 'enggak', 'bikin', 'kering', 'sama', 'sekali']"
8,datang sesuai estimasi pengiriman packing aman terima kasih jne dan tokopedia,datang sesuai estimasi pengiriman packing aman terima kasih jne dan tokopedia,"['datang', 'sesuai', 'estimasi', 'pengiriman', 'packing', 'aman', 'terima', 'kasih', 'jne', 'dan', 'tokopedia']","['datang', 'sesuai', 'estimasi', 'pengiriman', 'packing', 'aman', 'terima', 'kasih', 'jne', 'tokopedia']","['datang', 'sesuai', 'estimasi', 'kirim', 'packing', 'aman', 'terima', 'kasih', 'jne', 'tokopedia']"
9,pertama coba nih serum moga cocok packing aman dan kurir toppp tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,pertama coba nih serum moga cocok packing aman dan kurir top tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,"['pertama', 'coba', 'nih', 'serum', 'moga', 'cocok', 'packing', 'aman', 'dan', 'kurir', 'top', 'tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['pertama', 'coba', 'nih', 'serum', 'moga', 'cocok', 'packing', 'aman', 'kurir', 'top', 'tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['pertama', 'coba', 'nih', 'serum', 'moga', 'cocok', 'packing', 'aman', 'kurir', 'top', 'tipe', 'kulit', 'minyak', 'masalah', 'kulit', 'jerawat', 'masalah', 'kulit', 'pori', 'besar']"
